member_id,zip_code,home_lat,home_lng,opt_in_push,last_visit,avg_transaction,preferred_categories
LOY-1024,75240,32.775813464138686,-96.73415520012162,1,2026-05-27 14:15:22,31.18,"ELECTRONICS,ENTERTAINMENT"
LOY-1025,75201,32.88899193202845,-96.86103079846607,0,2026-05-23 09:15:22,144.89,"ELECTRONICS,ENTERTAINMENT"
LOY-1026,75230,32.77110721129959,-96.83022312038433,0,2026-05-16 16:15:22,112.3,FASHION
LOY-1027,75201,32.839979793853765,-96.84219909813959,1,2026-05-16 06:15:22,105.25,"FB,ENTERTAINMENT"
LOY-1028,75230,32.664692822023554,-96.8059282721327,1,2026-05-14 14:15:22,12.72,"SPORTING,ENTERTAINMENT,FASHION"
LOY-1029,75240,32.906551740855924,-96.70441515677865,1,2026-04-20 10:15:22,96.79,"BEAUTY,SPORTING"
LOY-1030,75225,32.73647822338778,-96.65556651315637,1,2026-05-23 10:15:22,170.79,SPORTING
LOY-1031,75204,32.729129679510145,-96.68225465040643,0,2026-05-30 08:15:22,122.65,"SPORTING,FASHION,BEAUTY"
LOY-1032,75206,32.77072783409017,-96.90171181751546,1,2026-04-22 12:15:22,106.56,"ENTERTAINMENT,ELECTRONICS,BEAUTY"
LOY-1033,75201,32.63059922085713,-96.91521958536727,1,2026-04-24 10:15:22,91.7,FASHION
LOY-1034,75225,32.711250770909324,-96.68795370247469,1,2026-05-05 12:15:22,158.13,ENTERTAINMENT
LOY-1035,75240,32.77538846409129,-96.9041770312334,1,2026-04-26 08:15:22,98.93,"FASHION,SPORTING"
LOY-1036,75219,32.92148437383767,-96.69151534065259,1,2026-05-13 13:15:22,79.91,"FASHION,ELECTRONICS,ENTERTAINMENT"
LOY-1037,75219,32.87271439241433,-96.79185837135176,1,2026-05-20 07:15:22,32.24,"BEAUTY,FASHION,FB"
LOY-1038,75230,32.787094603159986,-96.92855494353954,0,2026-04-17 13:15:22,123.48,"SPORTING,FB,BEAUTY"
LOY-1039,75209,32.75463500664592,-96.9392280782909,0,2026-04-25 07:15:22,81.62,"FB,ELECTRONICS"
LOY-1040,75204,32.91215341067764,-96.93674629071494,1,2026-05-30 09:15:22,179.82,"ENTERTAINMENT,FB"
LOY-1041,75204,32.90123377494907,-96.90980682299916,1,2026-04-16 08:15:22,150.84,"SPORTING,ELECTRONICS"
LOY-1042,75204,32.83309525719156,-96.71034043267333,1,2026-05-30 11:15:22,26.79,"SPORTING,BEAUTY,FASHION"
LOY-1043,75219,32.88372593783475,-96.82358634088641,1,2026-04-24 14:15:22,134.7,"SPORTING,ENTERTAINMENT,FB"
LOY-1044,75248,32.71022839042987,-96.92833228715588,1,2026-05-01 15:15:22,72.02,SPORTING
LOY-1045,75206,32.797854901790416,-96.85656706377588,1,2026-05-02 08:15:22,94.33,SPORTING
LOY-1046,75248,32.79889953221696,-96.89622955904673,1,2026-05-25 16:15:22,42.57,"ENTERTAINMENT,SPORTING"
LOY-1047,75240,32.81535932362285,-96.68337221815088,1,2026-04-28 10:15:22,183.16,"ELECTRONICS,SPORTING,FASHION"
LOY-1048,75209,32.694615167779205,-96.70343381813801,1,2026-04-18 08:15:22,27.15,FB
LOY-1049,75204,32.80584378796001,-96.73088872222426,1,2026-04-22 16:15:22,41.08,"FB,FASHION,ELECTRONICS"
LOY-1050,75201,32.79707718535268,-96.83081612771856,1,2026-05-28 06:15:22,106.7,"ENTERTAINMENT,ELECTRONICS"
LOY-1051,75209,32.75066571078598,-96.76773895807716,1,2026-05-06 09:15:22,24.79,"ELECTRONICS,SPORTING"
LOY-1052,75205,32.85589980231664,-96.9233620534992,1,2026-05-29 13:15:22,126.33,"FASHION,BEAUTY"
LOY-1053,75225,32.769621578065546,-96.8184416975307,1,2026-05-05 14:15:22,112.34,"FASHION,FB,ENTERTAINMENT"
LOY-1054,75219,32.76366278296343,-96.74432490978938,0,2026-05-29 06:15:22,110.71,"BEAUTY,ENTERTAINMENT,FASHION"
LOY-1055,75204,32.715199038665496,-96.81615774043505,0,2026-05-12 07:15:22,84.24,"FB,BEAUTY,FASHION"
LOY-1056,75205,32.73094003250113,-96.8813391676679,1,2026-05-23 07:15:22,143.93,"SPORTING,BEAUTY"
LOY-1057,75240,32.757057408973,-96.84158820627259,0,2026-05-30 08:15:22,37.6,FB
LOY-1058,75225,32.732831994691395,-96.86865311675032,0,2026-04-26 16:15:22,41.36,"ELECTRONICS,FASHION,FB"
LOY-1059,75206,32.9073015027321,-96.65267021346098,0,2026-04-19 08:15:22,161.57,"ENTERTAINMENT,BEAUTY,FB"
LOY-1060,75209,32.866203782731205,-96.78527748827325,1,2026-05-24 12:15:22,86.98,"SPORTING,FB"
LOY-1061,75206,32.690957320471796,-96.78054743849181,1,2026-05-09 12:15:22,168.87,FASHION
LOY-1062,75248,32.7248629327939,-96.87107189798877,0,2026-05-13 07:15:22,121.13,"FB,ELECTRONICS,FASHION"
LOY-1063,75205,32.66578894657459,-96.7679648892609,1,2026-04-17 09:15:22,70.79,"FB,ENTERTAINMENT,FASHION"
LOY-1064,75225,32.726334681227,-96.65894243141732,1,2026-05-08 09:15:22,171.26,"BEAUTY,ENTERTAINMENT,FB"
LOY-1065,75219,32.66101646528787,-96.79399369717831,1,2026-05-27 12:15:22,129.42,FB
LOY-1066,75209,32.80582877213132,-96.80108671685967,1,2026-04-25 06:15:22,35.43,"FASHION,FB,BEAUTY"
LOY-1067,75209,32.65907400946801,-96.67965664868954,1,2026-04-22 10:15:22,37.57,"ELECTRONICS,ENTERTAINMENT,BEAUTY"
LOY-1068,75225,32.77932782624478,-96.8831019128235,1,2026-05-23 12:15:22,184.35,"ENTERTAINMENT,FASHION"
LOY-1069,75219,32.633280974564585,-96.74498968270697,1,2026-05-02 12:15:22,65.55,FASHION
LOY-1070,75248,32.84408306348736,-96.92703530635917,0,2026-04-20 11:15:22,32.21,BEAUTY
LOY-1071,75206,32.718082365614464,-96.92550965586008,0,2026-05-16 13:15:22,139.03,"ELECTRONICS,FB,BEAUTY"
LOY-1072,75248,32.8868165755944,-96.80364207165596,1,2026-05-22 06:15:22,104.28,FB
LOY-1073,75206,32.62878791597741,-96.85916525178612,0,2026-04-26 10:15:22,126.05,"FASHION,FB,ENTERTAINMENT"
LOY-1074,75219,32.69833030097384,-96.7199173252677,1,2026-05-09 16:15:22,169.37,FASHION
LOY-1075,75248,32.812362160864446,-96.70316829600588,0,2026-05-31 10:15:22,158.16,"FB,FASHION,ENTERTAINMENT"
LOY-1076,75225,32.9107393909376,-96.7546402740459,1,2026-04-19 11:15:22,77.82,FB
LOY-1077,75230,32.8785817404407,-96.92854258531489,1,2026-05-18 11:15:22,68.33,ENTERTAINMENT
LOY-1078,75201,32.890188714934816,-96.64749456278696,1,2026-05-14 11:15:22,28.94,BEAUTY
LOY-1079,75209,32.889366043841406,-96.67425548499388,1,2026-04-21 16:15:22,12.81,"FB,ELECTRONICS,SPORTING"
LOY-1080,75205,32.67606056196308,-96.69059289173244,1,2026-04-30 13:15:22,67.91,"FASHION,FB,BEAUTY"
LOY-1081,75209,32.72154590502507,-96.72040683261287,1,2026-05-09 08:15:22,167.4,"ENTERTAINMENT,BEAUTY,FASHION"
LOY-1082,75209,32.65212609425909,-96.75984233658205,1,2026-05-11 11:15:22,140.27,"ENTERTAINMENT,FB,SPORTING"
LOY-1083,75219,32.84826898190093,-96.93948321139162,1,2026-05-09 11:15:22,69.34,FASHION
LOY-1084,75219,32.67929652001654,-96.76803130258222,1,2026-04-17 11:15:22,135.07,"SPORTING,FASHION"
LOY-1085,75209,32.87630365867275,-96.82958483776974,1,2026-05-18 16:15:22,101.57,"SPORTING,BEAUTY"
LOY-1086,75204,32.66065650255386,-96.67942069967467,1,2026-04-18 08:15:22,37.66,"ENTERTAINMENT,ELECTRONICS,FASHION"
LOY-1087,75206,32.64727614030291,-96.83738568387169,1,2026-05-03 07:15:22,124.23,FASHION
LOY-1088,75206,32.68923104899021,-96.7236239817679,1,2026-05-13 12:15:22,66.75,FB
LOY-1089,75201,32.68987742997429,-96.7424109433727,1,2026-05-15 08:15:22,31.52,ENTERTAINMENT
LOY-1090,75225,32.819314688513046,-96.73565765558678,1,2026-05-05 07:15:22,65.06,"SPORTING,FASHION"
LOY-1091,75206,32.836062573441,-96.7034275104829,1,2026-05-08 09:15:22,159.18,ELECTRONICS
LOY-1092,75219,32.75071561742653,-96.64930566475755,1,2026-05-12 09:15:22,64.51,"SPORTING,FASHION"
LOY-1093,75209,32.63850162787739,-96.90384037613423,1,2026-05-14 11:15:22,181.34,"FASHION,FB,ENTERTAINMENT"
LOY-1094,75240,32.84917407758045,-96.90282590560354,1,2026-04-19 09:15:22,32.82,"ELECTRONICS,SPORTING"
LOY-1095,75230,32.68597608043287,-96.80131214735437,1,2026-05-23 09:15:22,114.05,"ENTERTAINMENT,BEAUTY"
LOY-1096,75206,32.64950559379728,-96.87951050906464,1,2026-05-26 10:15:22,114.87,"FB,SPORTING"
LOY-1097,75240,32.67452750424615,-96.91256249457639,0,2026-05-03 06:15:22,77.56,"BEAUTY,SPORTING"
LOY-1098,75206,32.850667412142975,-96.68266708519764,1,2026-05-02 06:15:22,45.58,"FASHION,ELECTRONICS"
LOY-1099,75201,32.66997163682879,-96.75340824246715,0,2026-05-19 15:15:22,12.89,ENTERTAINMENT
LOY-1100,75201,32.75221547883295,-96.83629392739975,1,2026-04-17 11:15:22,22.26,FB
LOY-1101,75204,32.838976180607474,-96.75140484934822,0,2026-05-05 13:15:22,36.7,"FASHION,SPORTING,ENTERTAINMENT"
LOY-1102,75209,32.851016918826964,-96.8559077725986,1,2026-04-18 14:15:22,99.75,"ELECTRONICS,FB"
LOY-1103,75205,32.8106775250822,-96.88274710946575,1,2026-05-18 06:15:22,154.18,"BEAUTY,ENTERTAINMENT"
LOY-1104,75201,32.77861935950921,-96.89631023955148,1,2026-04-20 08:15:22,154.11,FASHION
LOY-1105,75201,32.79981854880084,-96.91114533936945,0,2026-04-21 06:15:22,13.39,"FB,FASHION"
LOY-1106,75204,32.90400201569653,-96.74869450143747,1,2026-04-25 08:15:22,121.87,SPORTING
LOY-1107,75209,32.88299372400932,-96.93856935940552,1,2026-04-27 15:15:22,69.23,"FB,SPORTING"
LOY-1108,75219,32.78525976331618,-96.70956050142867,1,2026-04-18 16:15:22,133.63,"ELECTRONICS,FASHION"
LOY-1109,75240,32.7841355461108,-96.71112900337297,1,2026-05-16 11:15:22,77.52,ELECTRONICS
LOY-1110,75225,32.809092486713226,-96.81252666045789,1,2026-04-19 09:15:22,139.86,"ELECTRONICS,SPORTING,ENTERTAINMENT"
LOY-1111,75205,32.81578480094198,-96.718188462115,1,2026-05-30 06:15:22,172.76,FASHION
LOY-1112,75209,32.698360425304514,-96.85741512119885,1,2026-05-10 12:15:22,148.67,"BEAUTY,FASHION,SPORTING"
LOY-1113,75201,32.83889524930579,-96.70241984776844,1,2026-05-01 15:15:22,142.44,"BEAUTY,FASHION,FB"
LOY-1114,75240,32.631411424986325,-96.77527321376866,1,2026-04-18 16:15:22,34.15,"ELECTRONICS,FASHION"
LOY-1115,75206,32.893321589486696,-96.8045470125117,1,2026-05-20 10:15:22,116.45,SPORTING
LOY-1116,75225,32.822225345014864,-96.70660804695054,1,2026-05-21 11:15:22,170.25,"SPORTING,ELECTRONICS,BEAUTY"
LOY-1117,75230,32.91624837875117,-96.78933429935424,1,2026-04-18 14:15:22,33.84,"SPORTING,FASHION"
LOY-1118,75209,32.71955104050392,-96.86292163523667,1,2026-04-25 06:15:22,128.17,"FASHION,SPORTING"
LOY-1119,75248,32.64128133670944,-96.67734456132476,1,2026-05-28 06:15:22,68.76,"SPORTING,FASHION"
LOY-1120,75230,32.88212090479364,-96.92082557881201,1,2026-05-11 08:15:22,24.2,"FB,ENTERTAINMENT"
LOY-1121,75205,32.922138037289145,-96.93566310019787,1,2026-05-01 11:15:22,13.99,"SPORTING,ENTERTAINMENT"
LOY-1122,75225,32.72275425349759,-96.68697478790084,1,2026-05-24 08:15:22,72.76,FB
LOY-1123,75225,32.86014088116512,-96.9272655318804,1,2026-05-28 09:15:22,110.27,"SPORTING,BEAUTY,ENTERTAINMENT"
LOY-1124,75209,32.85679243196071,-96.82954214658757,1,2026-05-02 08:15:22,87.08,FB
LOY-1125,75248,32.823917801101516,-96.79211506407614,0,2026-05-20 07:15:22,87.97,"FB,ENTERTAINMENT"
LOY-1126,75240,32.82632037044341,-96.7774378344883,1,2026-05-19 08:15:22,167.59,"BEAUTY,FASHION"
LOY-1127,75205,32.768364584038906,-96.93352958167812,1,2026-05-23 16:15:22,114.38,"SPORTING,FB"
LOY-1128,75205,32.80097661771479,-96.76550887614162,1,2026-05-06 11:15:22,165.67,FASHION
LOY-1129,75240,32.734839539712205,-96.86683912803319,1,2026-04-28 15:15:22,86.78,"BEAUTY,ELECTRONICS"
LOY-1130,75219,32.835415147813045,-96.76915297097491,1,2026-05-21 14:15:22,26.06,"SPORTING,FASHION,ELECTRONICS"
LOY-1131,75201,32.7678982495439,-96.65139192595228,1,2026-04-29 15:15:22,156.82,"FB,SPORTING"
LOY-1132,75204,32.81187753023871,-96.66348221917892,1,2026-04-28 07:15:22,174.98,"ELECTRONICS,FASHION"
LOY-1133,75230,32.702395890941304,-96.83494316146988,1,2026-05-06 07:15:22,84.91,SPORTING
LOY-1134,75204,32.74331401728875,-96.93493371405279,1,2026-05-21 07:15:22,155.19,FASHION
LOY-1135,75205,32.84106733399401,-96.78215831058816,1,2026-05-18 07:15:22,174.16,FASHION
LOY-1136,75201,32.64756962229851,-96.85230046460961,1,2026-05-28 11:15:22,67.35,FASHION
LOY-1137,75209,32.774391256628725,-96.94393740061649,1,2026-05-24 16:15:22,178.39,ENTERTAINMENT
LOY-1138,75205,32.833310552405194,-96.90722279188037,0,2026-04-29 06:15:22,148.58,"FB,ELECTRONICS"
LOY-1139,75205,32.84801902546418,-96.88226280882502,1,2026-05-15 09:15:22,67.54,"BEAUTY,SPORTING,FB"
LOY-1140,75205,32.64386093986711,-96.6687424677287,1,2026-05-13 08:15:22,30.7,ENTERTAINMENT
LOY-1141,75225,32.76038070851551,-96.94473854432613,1,2026-04-27 14:15:22,183.38,"ELECTRONICS,SPORTING"
LOY-1142,75201,32.809484486548754,-96.69047086739009,1,2026-05-09 14:15:22,61.75,SPORTING
LOY-1143,75206,32.849528562393374,-96.79500720910602,1,2026-05-15 11:15:22,133.16,"ENTERTAINMENT,SPORTING,BEAUTY"
LOY-1144,75201,32.79519502337474,-96.68108486676289,1,2026-04-25 13:15:22,41.05,"FASHION,BEAUTY,ELECTRONICS"
LOY-1145,75204,32.849374192381745,-96.91926005996481,1,2026-05-06 06:15:22,95.84,FASHION
LOY-1146,75240,32.766190409148564,-96.69482654761721,1,2026-05-25 12:15:22,36.39,"SPORTING,BEAUTY,ENTERTAINMENT"
LOY-1147,75206,32.8489245796117,-96.7500645068859,1,2026-05-27 09:15:22,166.45,"ENTERTAINMENT,FB,FASHION"
LOY-1148,75205,32.74242200737027,-96.74592311321155,0,2026-05-24 14:15:22,60.72,"SPORTING,BEAUTY,FASHION"
LOY-1149,75219,32.65082992187594,-96.7140246559593,0,2026-05-06 10:15:22,118.08,"ENTERTAINMENT,BEAUTY"
LOY-1150,75204,32.628786635296315,-96.81608802742059,1,2026-05-23 10:15:22,170.7,"FB,ELECTRONICS"
LOY-1151,75225,32.670455472539935,-96.66480820890419,1,2026-05-28 06:15:22,128.14,"ENTERTAINMENT,BEAUTY"
LOY-1152,75206,32.90981436346435,-96.84974449032451,1,2026-05-14 16:15:22,57.29,"SPORTING,FASHION"
LOY-1153,75248,32.64475944612632,-96.78662957851641,0,2026-04-22 07:15:22,124.94,"FASHION,BEAUTY,ENTERTAINMENT"
LOY-1154,75248,32.681588689997696,-96.81472516397095,0,2026-05-23 16:15:22,85.14,"ENTERTAINMENT,FASHION,ELECTRONICS"
LOY-1155,75204,32.661949377242934,-96.92005251927557,0,2026-05-20 07:15:22,58.88,ENTERTAINMENT
LOY-1156,75209,32.88136865224756,-96.83778189160704,1,2026-05-20 15:15:22,137.18,"SPORTING,ENTERTAINMENT,ELECTRONICS"
LOY-1157,75209,32.71809898619171,-96.90967892528279,1,2026-05-26 16:15:22,31.94,"FASHION,FB"
LOY-1158,75209,32.64466809770616,-96.76595957051578,1,2026-05-20 06:15:22,59.68,"FB,ENTERTAINMENT,ELECTRONICS"
LOY-1159,75206,32.68460830625896,-96.73701906244554,1,2026-05-26 13:15:22,61.42,ENTERTAINMENT
LOY-1160,75219,32.76801572993932,-96.91562260622482,1,2026-05-28 12:15:22,23.75,ENTERTAINMENT
LOY-1161,75205,32.823842473639615,-96.76873952047013,1,2026-04-18 10:15:22,34.64,"BEAUTY,FASHION,ELECTRONICS"
LOY-1162,75219,32.90100337108534,-96.71292153042076,0,2026-05-18 16:15:22,75.72,SPORTING
LOY-1163,75205,32.65746433703162,-96.68191264917634,1,2026-05-10 11:15:22,70.87,"SPORTING,FASHION"
LOY-1164,75219,32.877774259489584,-96.78821527665839,1,2026-05-11 12:15:22,147.71,"FB,FASHION"
LOY-1165,75219,32.69921639427094,-96.68616343177996,1,2026-05-08 08:15:22,180.61,"FASHION,ENTERTAINMENT,FB"
LOY-1166,75201,32.73988685311509,-96.88414909116847,1,2026-05-11 07:15:22,13.88,"FASHION,ENTERTAINMENT,FB"
LOY-1167,75219,32.7414295152323,-96.72142101348327,1,2026-04-16 09:15:22,32.42,"ELECTRONICS,SPORTING"
LOY-1168,75206,32.91290327345327,-96.71923043498543,0,2026-05-06 08:15:22,115.09,"ENTERTAINMENT,BEAUTY,SPORTING"
LOY-1169,75205,32.69720510402384,-96.84451796559954,1,2026-04-16 09:15:22,19.1,"ENTERTAINMENT,SPORTING,FASHION"
LOY-1170,75225,32.91366878083293,-96.71163125397152,1,2026-05-10 08:15:22,101.58,"ELECTRONICS,ENTERTAINMENT"
LOY-1171,75240,32.781552007557444,-96.91107922150944,1,2026-04-27 13:15:22,132.17,"BEAUTY,ELECTRONICS"
LOY-1172,75209,32.77594444232997,-96.86737370825095,0,2026-05-17 07:15:22,52.2,"SPORTING,FB,FASHION"
LOY-1173,75209,32.63194190030806,-96.76775021273515,0,2026-05-02 07:15:22,92.17,"BEAUTY,ELECTRONICS,FASHION"
LOY-1174,75240,32.64308993048593,-96.82649450027374,1,2026-05-31 16:15:22,161.76,"SPORTING,ENTERTAINMENT"
LOY-1175,75240,32.627549308855684,-96.68969117418979,1,2026-05-02 10:15:22,164.18,"ENTERTAINMENT,FB"
LOY-1176,75225,32.89750824646338,-96.65177446167837,1,2026-04-18 13:15:22,82.53,"ELECTRONICS,BEAUTY,FB"
LOY-1177,75201,32.86997123320458,-96.8296741993901,1,2026-05-12 08:15:22,16.8,ELECTRONICS
LOY-1178,75219,32.878382132890145,-96.87369332522486,1,2026-04-24 13:15:22,59.68,FB
LOY-1179,75204,32.78466332990302,-96.66788252286487,1,2026-04-26 06:15:22,88.89,BEAUTY
LOY-1180,75209,32.873512994537684,-96.73496446790452,1,2026-04-26 08:15:22,114.59,"BEAUTY,ELECTRONICS,FASHION"
LOY-1181,75219,32.72967282291784,-96.82213053216132,1,2026-04-25 08:15:22,158.93,"FASHION,ENTERTAINMENT"
LOY-1182,75206,32.649398521066196,-96.75339550925072,1,2026-04-26 10:15:22,162.86,"FASHION,BEAUTY"
LOY-1183,75209,32.784287825622,-96.88190648561634,0,2026-04-16 13:15:22,37.95,FB
LOY-1184,75240,32.67235347279804,-96.70163259707529,1,2026-05-26 08:15:22,50.02,ELECTRONICS
LOY-1185,75225,32.89746622757341,-96.87042436051131,1,2026-05-10 08:15:22,80.21,"ENTERTAINMENT,BEAUTY,ELECTRONICS"
LOY-1186,75225,32.82367910439134,-96.94422125436321,1,2026-05-27 08:15:22,134.96,"SPORTING,FB"
LOY-1187,75204,32.76346174498867,-96.90250324952889,1,2026-05-15 11:15:22,88.8,"FASHION,SPORTING"
LOY-1188,75248,32.70080885292613,-96.74537030323583,1,2026-05-16 16:15:22,110.38,"SPORTING,FASHION,BEAUTY"
LOY-1189,75219,32.7974614494252,-96.77241917752204,1,2026-05-08 16:15:22,103.77,"FB,ELECTRONICS,FASHION"
LOY-1190,75230,32.745979868022744,-96.89738882896503,1,2026-05-03 11:15:22,125.22,FB
LOY-1191,75248,32.63623566116445,-96.8337042034984,1,2026-05-28 16:15:22,88.39,"ENTERTAINMENT,SPORTING,FB"
LOY-1192,75204,32.75764878706518,-96.82852502898643,1,2026-04-21 11:15:22,149.69,"SPORTING,ENTERTAINMENT"
LOY-1193,75209,32.80619049388482,-96.829697350188,0,2026-05-20 14:15:22,43.16,"FASHION,ELECTRONICS"
LOY-1194,75219,32.912919536191986,-96.6525172429356,0,2026-05-07 14:15:22,110.66,"FASHION,SPORTING,ENTERTAINMENT"
LOY-1195,75240,32.74019910418671,-96.79238390288153,1,2026-05-08 15:15:22,98.85,"SPORTING,BEAUTY,ELECTRONICS"
LOY-1196,75248,32.896634770840706,-96.74393639619134,1,2026-05-18 15:15:22,71.32,"FASHION,ENTERTAINMENT"
LOY-1197,75209,32.846052511818904,-96.86024046788333,1,2026-05-17 12:15:22,140.33,"SPORTING,FASHION"
LOY-1198,75204,32.88930702633685,-96.767573559927,0,2026-05-12 08:15:22,51.85,"ELECTRONICS,BEAUTY"
LOY-1199,75225,32.84618849413915,-96.92552575040017,0,2026-04-22 08:15:22,172.33,ELECTRONICS
